ship_id,ship_name,ship_type_id,ship_type_name,datetime,lat,lon,port_reported,super_unique_id,haversine_dist,obs,tot,id_check
2764,KAROLI,7,Cargo,2016-12-19T12:55:01Z,54.5644,18.83774,gdansk,"2764,KAROLI,7,Cargo",0,43,46610.4519800583,"2764,KAROLI,7,Cargoyes"
2764,KAROLI,7,Cargo,2016-12-19T12:59:02Z,54.54369,18.80568,gdansk,"2764,KAROLI,7,Cargo",3098.18940038824,44,46610.4519800583,"2764,KAROLI,7,Cargoyes"
3338,KERLI,7,Cargo,2016-12-17T07:59:01Z,54.73725,18.97902,gdansk,"3338,KERLI,7,Cargo",0,1215,111941.368364754,"3338,KERLI,7,Cargoyes"
3338,KERLI,7,Cargo,2016-12-17T08:01:02Z,54.76132,18.98187,gdansk,"3338,KERLI,7,Cargo",2685.70948317424,1216,111941.368364754,"3338,KERLI,7,Cargoyes"
3615,FINNKRAFT,7,Cargo,2016-12-13T22:31:02Z,54.6725,18.99983,gdansk,"3615,FINNKRAFT,7,Cargo",1245.00098944586,354,358968.366807472,"3615,FINNKRAFT,7,Cargoyes"
3615,FINNKRAFT,7,Cargo,2016-12-15T16:49:02Z,54.79053,18.89155,gdansk,"3615,FINNKRAFT,7,Cargo",14868.5700969393,355,358968.366807472,"3615,FINNKRAFT,7,Cargoyes"
5628,FINNPULP,7,Cargo,2016-12-19T06:23:02Z,54.67507,18.94194,gdansk,"5628,FINNPULP,7,Cargo",517.609596670405,17,58691.5329798606,"5628,FINNPULP,7,Cargoyes"
5628,FINNPULP,7,Cargo,2016-12-19T06:25:02Z,54.66213,18.93311,gdansk,"5628,FINNPULP,7,Cargo",1548.5787217859,18,58691.5329798606,"5628,FINNPULP,7,Cargoyes"
6223,MERI,7,Cargo,2016-12-16T12:55:07Z,54.4373,18.65869,gdynia,"6223,MERI,7,Cargo",0,3917,63406.7098196836,"6223,MERI,7,Cargoyes"
6223,MERI,7,Cargo,2016-12-16T12:57:02Z,54.45842,18.69403,gdansk,"6223,MERI,7,Cargo",3280.21260629561,3918,63406.7098196836,"6223,MERI,7,Cargoyes"
6333,BALTICO,8,Tanker,2016-12-19T03:19:02Z,54.45685,18.99749,gdansk,"6333,BALTICO,8,Tanker",797.450413863189,3982,116592.039323341,"6333,BALTICO,8,Tankeryes"
6333,BALTICO,8,Tanker,2016-12-19T05:01:02Z,54.78958,18.99259,gdansk,"6333,BALTICO,8,Tanker",37040.6803680806,3983,116592.039323341,"6333,BALTICO,8,Tankeryes"
6349,SUULA,8,Tanker,2016-12-20T01:03:02Z,54.42691,18.92613,gdansk,"6349,SUULA,8,Tanker",433.067911042477,1613,44701.5849003687,"6349,SUULA,8,Tankeryes"
6349,SUULA,8,Tanker,2016-12-20T01:05:02Z,54.42949,18.95248,gdansk,"6349,SUULA,8,Tanker",1730.35052930985,1614,44701.5849003687,"6349,SUULA,8,Tankeryes"
23788,VTS HEL,0,Unspecified,2016-12-15T18:57:02Z,54.59999,18.8129,gdansk,"23788,VTS HEL,0,Unspecified",1.28970601913425,266,104.522445221574,"23788,VTS HEL,0,Unspecifiedyes"
23788,VTS HEL,0,Unspecified,2016-12-17T18:45:02Z,54.60001,18.81289,gdansk,"23788,VTS HEL,0,Unspecified",2.31789706632851,267,104.522445221574,"23788,VTS HEL,0,Unspecifiedyes"
73528,SAR 111261105,3,Tug,2016-12-20T08:27:01Z,54.67845,18.74161,gdansk,"73528,SAR 111261105,3,Tug",0,7,55005.7637040416,"73528,SAR 111261105,3,Tugyes"
73528,SAR 111261105,3,Tug,2016-12-20T08:29:01Z,54.59363,18.80848,gdansk,"73528,SAR 111261105,3,Tug",10378.5911809838,8,55005.7637040416,"73528,SAR 111261105,3,Tugyes"
122006,IDUNA,7,Cargo,2016-12-14T15:27:02Z,54.70171,18.99737,gdansk,"122006,IDUNA,7,Cargo",393.012310890714,418,167460.377826,"122006,IDUNA,7,Cargoyes"
122006,IDUNA,7,Cargo,2016-12-14T15:49:01Z,54.75998,18.99467,gdansk,"122006,IDUNA,7,Cargo",6488.90800389333,419,167460.377826,"122006,IDUNA,7,Cargoyes"
122250,WILSON SKY,7,Cargo,2016-12-13T22:35:02Z,54.67703,18.9902,gdansk,"122250,WILSON SKY,7,Cargo",452.198166597709,350,242047.994746671,"122250,WILSON SKY,7,Cargoyes"
122250,WILSON SKY,7,Cargo,2016-12-14T14:43:06Z,55.69126,21.13543,klaipeda,"122250,WILSON SKY,7,Cargo",177008.334000514,351,242047.994746671,"122250,WILSON SKY,7,Cargoyes"
122562,THURKUS,7,Cargo,2016-12-16T12:55:01Z,54.54402,18.82845,gdansk,"122562,THURKUS,7,Cargo",0,1028,132710.561231994,"122562,THURKUS,7,Cargoyes"
